Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
United States,USA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,12,12,12,12,12,12,11,11,11,12,12,13,13,13,13,13,14,14,14,15,14,14,14,14,14,14,..,..,..
United States,USA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.9541342528534,98.9610777193488,98.967980580777,98.974842837138,98.9816644884317,98.988404929591,98.9952265808847,99.0020482321785,99.0089104885394,99.0158133499676,99.0227162113958,..,..,..
United States,USA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.0744156854445,89.1034536769391,89.1318156564216,89.1598064986943,89.1877303080668,89.2146770830901,89.2415579809528,89.2680700530852,89.294213877357,89.3199900316381,89.3450967230985,89.3707438197843,89.3963261950492,89.4221456417233,89.4482015819367,89.4994736170984,..,..,..
United States,USA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.5,1.5,1.6,1.6,..,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,..,2.428,2,2.1,2.1,2.2,2.583,2.2,2.3,..,2.704,..,2.402,2.41,2.416,2.422,2.429,2.458,2.492,2.554,2.568,..,..,..,..
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Progression to secondary school (%),SE.SEC.PROG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,..,..,..,..,14.0212,14.05163,14.18526,..,..,..,..,..,..,16.09671,16.08709,16.17298,16.03388,..,15.67606,15.41492,15.00811,15.44419,14.82712,14.81356,14.21109,14.12972,13.80787,13.79556,13.68908,13.87215,13.59084,14.28522,14.42216,14.45367,14.53749,14.45723,..,..,..
United States,USA,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,15.53341,15.69765,15.4257,15.40349,..,15.18828,14.92401,14.6058,15.16271,14.88345,14.91553,14.97542,14.94408,14.61822,14.56391,14.37659,13.96017,13.75943,14.49056,14.66372,14.69574,14.78683,14.69697,..,..,..
Afghanistan,AFG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,1340,1330,1330,1320,1300,1270,1240,1200,1160,1130,1100,1050,996,941,881,821,776,724,676,631,584,536,496,459,425,396,..,..,..
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.93204,37.05025,37.17123,37.29531,37.42216,37.55213,37.6852,37.82138,37.96068,38.10274,38.24825,..,..,..
Afghanistan,AFG,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,61.68826,..,..,..,81.95312,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,..,..,..,..,75.56688,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.077,..,..,..,..,0.183,0.179,..,0.129,0.109,..,..,0.143,..,..,..,0.11,..,..,..,0.2,..,..,..,..,0.168,0.183,0.182,0.222,0.247,0.263,0.253,0.299,0.315,0.302,0.295,..,..
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,26.61916,33.06739,..,..,18.20004,18.90908,..,..,..,..,..,..,..,29.06965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
