Year;LOCATION;VARIABLE;UNIT_MULT;FREQ;OBS_VALUE;TIME_FORMAT;UNIT_MEASURE
2005;Fiji;Maternal mortality ratio (MMR) (upper bound);Units;Annual;107.1;Annual;number of maternal deaths per 100,000 live births
2006;Fiji;Maternal mortality ratio (MMR) (upper bound);Units;Annual;101.2;Annual;number of maternal deaths per 100,000 live births
2007;Fiji;Maternal mortality ratio (MMR) (upper bound);Units;Annual;97.9;Annual;number of maternal deaths per 100,000 live births
2009;Fiji;Maternal mortality ratio (MMR) (upper bound);Units;Annual;90.8;Annual;number of maternal deaths per 100,000 live births
1993;Cote d'Ivoire;Number of maternal deaths (upper bound);Units;Annual;3559.0;Annual;Number
2002;Cote d'Ivoire;Number of maternal deaths (upper bound);Units;Annual;6147.0;Annual;Number
2009;Cote d'Ivoire;Number of maternal deaths (upper bound);Units;Annual;4648.0;Annual;Number
1997;Latvia;Maternal mortality ratio (MMR);Units;Annual;33.3;Annual;number of maternal deaths per 100,000 live births
1999;Latvia;Maternal mortality ratio (MMR);Units;Annual;31.1;Annual;number of maternal deaths per 100,000 live births
2001;Latvia;Maternal mortality ratio (MMR);Units;Annual;24.7;Annual;number of maternal deaths per 100,000 live births
2003;Latvia;Maternal mortality ratio (MMR);Units;Annual;18.2;Annual;number of maternal deaths per 100,000 live births
1992;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;22.3;Annual;number of maternal deaths per 100,000 live births
1997;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;21.1;Annual;number of maternal deaths per 100,000 live births
2003;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;18.1;Annual;number of maternal deaths per 100,000 live births
2006;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;17.3;Annual;number of maternal deaths per 100,000 live births
2007;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;16.7;Annual;number of maternal deaths per 100,000 live births
2011;Portugal;Maternal mortality ratio (MMR) (upper bound);Units;Annual;16.8;Annual;number of maternal deaths per 100,000 live births
2000;Belize;Maternal mortality ratio (MMR);Units;Annual;76.3;Annual;number of maternal deaths per 100,000 live births
2007;Belize;Maternal mortality ratio (MMR);Units;Annual;69.9;Annual;number of maternal deaths per 100,000 live births
2008;Belize;Maternal mortality ratio (MMR);Units;Annual;67.8;Annual;number of maternal deaths per 100,000 live births
2009;Belize;Maternal mortality ratio (MMR);Units;Annual;65.7;Annual;number of maternal deaths per 100,000 live births
2011;Belize;Maternal mortality ratio (MMR);Units;Annual;62.3;Annual;number of maternal deaths per 100,000 live births
1993;Solomon Islands;Maternal mortality ratio (MMR);Units;Annual;164.0;Annual;number of maternal deaths per 100,000 live births
1994;Solomon Islands;Maternal mortality ratio (MMR);Units;Annual;156.2;Annual;number of maternal deaths per 100,000 live births
2004;Solomon Islands;Maternal mortality ratio (MMR);Units;Annual;119.1;Annual;number of maternal deaths per 100,000 live births
1993;Armenia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;34.1;Annual;number of maternal deaths per 100,000 live births
1995;Armenia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;34.8;Annual;number of maternal deaths per 100,000 live births
2003;Armenia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;28.9;Annual;number of maternal deaths per 100,000 live births
1995;Seychelles;Maternal mortality ratio (MMR) (lower bound);Units;Annual;66.2;Annual;number of maternal deaths per 100,000 live births
1996;Seychelles;Maternal mortality ratio (MMR) (lower bound);Units;Annual;74.5;Annual;number of maternal deaths per 100,000 live births
1998;Seychelles;Maternal mortality ratio (MMR) (lower bound);Units;Annual;83.7;Annual;number of maternal deaths per 100,000 live births
1999;Seychelles;Maternal mortality ratio (MMR) (lower bound);Units;Annual;93.6;Annual;number of maternal deaths per 100,000 live births
2010;Seychelles;Maternal mortality ratio (MMR) (lower bound);Units;Annual;118.8;Annual;number of maternal deaths per 100,000 live births
2006;Grenada;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2003;Suriname;Number of maternal deaths;Units;Annual;10.0;Annual;Number
1999;Libyan Arab Jamahiriya;Number of maternal deaths (upper bound);Units;Annual;73.0;Annual;Number
2006;Libyan Arab Jamahiriya;Number of maternal deaths (upper bound);Units;Annual;66.0;Annual;Number
1995;Sri Lanka;Number of maternal deaths;Units;Annual;191.0;Annual;Number
1996;Sri Lanka;Number of maternal deaths;Units;Annual;188.0;Annual;Number
